id,occupation,pauto,routineness,complexity,stratum
1,"Chief executives, public administrators, and legislators",0.015,0.161,0.979,5
2,Financial managers,0.069,0.744,0.961,3
3,Human resources and labour relations managers,0.006,0.355,0.913,3
4,"Managers and specialists in marketing, advert., PR",0.023,0.531,0.813,3
5,Managers in education and related fields,0.006,0.340,0.825,3
6,Managers of medicine and health occupations,0.007,0.255,0.933,3
7,Managers of properties and real estate,0.810,0.072,0.662,3
8,Funeral directors,0.200,0.018,0.572,3
9,"Managers and administrators, n.e.c.",0.250,0.151,0.908,3
10,Accountants and auditors,0.940,0.924,0.790,3
11,Insurance underwriters,0.990,0.930,0.653,3
12,Other financial specialists,0.330,0.674,0.753,3
13,Management analysts,0.130,0.261,0.910,3
14,"Personnel, HR, training, and labour rel. specialists",0.310,0.361,0.820,3
15,Purchasing agents and buyers of farm products,0.870,0.987,0.654,3
16,"Buyers, wholesale and retail trade",0.290,0.632,0.706,3
17,"Purchasing managers, agents, and buyers, n.e.c.",0.030,0.501,0.799,3
18,Business and promotion agents,0.240,0.094,0.556,3
19,Construction inspectors,0.630,0.136,0.680,3
20,"Inspectors and compliance officers, outside",0.080,0.322,0.931,3
21,Architects,0.018,0.708,0.969,3
22,Aerospace engineers,0.017,0.142,0.998,3
23,Metallurgical and materials engineers,0.021,0.282,0.996,3
24,"Petroleum, mining, and geological engineers",0.150,0.428,0.970,3
25,Chemical engineers,0.017,0.528,1.000,3
26,Civil engineers,0.019,0.106,0.996,3
27,Electrical engineers,0.100,0.082,0.941,3
28,Industrial engineers,0.029,0.185,0.965,3
29,Mechanical engineers,0.011,0.595,0.983,3
30,"Engineers and other professionals, n.e.c.",0.014,0.243,0.979,3
31,Computer systems analysts and computer scientists,0.011,0.100,0.929,3
32,Operations and systems researchers and analysts,0.035,0.112,0.956,3
33,Actuaries,0.210,0.188,0.998,3
34,Mathematicians and statisticians,0.134,0.547,0.913,3
35,Physicists and astronomists,0.071,0.659,1.000,3
36,Chemists,0.100,0.516,0.973,3
37,Atmospheric and space scientists,0.670,0.024,0.966,3
38,Geologists,0.630,0.133,0.972,3
39,"Physical scientists, n.e.c.",0.430,0.194,0.966,3
40,Agricultural and food scientists,0.053,0.231,0.971,3
41,Biological scientists,0.113,0.303,0.999,3
42,Foresters and conservation scientists,0.012,0.021,0.821,3
43,Medical scientists,0.005,0.276,0.998,3
44,Physicians,0.004,0.091,0.992,3
45,Dentists,0.004,0.109,0.943,3
46,Veterinarians,0.038,0.787,0.926,3
47,Optometrists,0.140,0.164,0.966,3
48,Podiatrists,0.005,0.449,0.966,3
49,Registered nurses,0.009,0.258,0.936,3
50,Pharmacists,0.012,0.431,0.946,3
51,Dieticians and nutritionists,0.004,0.039,0.932,3
52,Respiratory therapists,0.066,0.212,0.759,3
53,Occupational therapists,0.004,0.212,0.744,3
54,Physical therapists,0.021,0.212,0.826,3
55,Speech therapists,0.006,0.212,0.926,3
56,Physicians' assistants,0.300,0.212,0.933,2
57,Kindergarten and earlier school teachers,0.150,0.036,0.531,2
58,Primary school teachers,0.170,0.048,0.715,2
59,Secondary school teachers,0.008,0.075,0.740,2
60,Special education teachers,0.012,0.103,0.731,2
61,"Teachers, n.e.c.",0.010,0.085,0.722,2
62,Vocational and educational counselors,0.134,0.410,0.762,2
63,Librarians,0.650,0.373,0.678,2
64,Archivists and curators,0.383,0.042,0.740,2
65,"Economists, market and survey researchers",0.330,0.592,0.967,3
66,Psychologists,0.007,0.638,0.971,3
67,"Social scientists and sociologists, n.e.c.",0.059,0.066,0.954,3
68,Urban and regional planners,0.130,0.182,0.971,3
69,Social workers,0.012,0.486,0.778,2
70,Clergy and religious workers,0.008,0.644,0.759,3
71,Welfare service workers,0.028,0.097,0.620,2
72,Lawyers and judges,0.218,0.981,0.954,3
73,Writers and authors,0.038,0.179,0.639,2
74,Technical writers,0.890,0.197,0.535,3
75,Designers,0.042,0.507,0.626,2
76,Musicians and composers,0.045,0.088,0.430,2
77,"Actors, directors, and producers",0.196,0.057,0.679,3
78,"Painters, sculptors, craft-artists, and print-makers",0.039,0.811,0.571,3
79,Photographers,0.021,0.875,0.533,2
80,Dancers,0.130,0.209,0.372,2
81,Editors and reporters,0.083,0.775,0.641,3
82,Announcers,0.720,0.513,0.522,2
83,"Athletes, sports instructors, and officials",0.147,0.003,0.534,2
84,Clinical laboratory technologies and technicians,0.685,0.650,0.732,2
85,Dental hygienists,0.680,0.863,0.535,2
86,Health record technologists and technicians,0.910,0.370,0.346,2
87,Radiologic technologists and technicians,0.230,0.291,0.663,2
88,Licensed practical nurses,0.058,0.349,0.719,2
89,"Health technologists and technicians, n.e.c.",0.400,0.425,0.734,2
90,Engineering technicians,0.240,0.419,0.775,2
91,Drafters,0.670,0.848,0.646,2
92,"Surveyors, cartographers, mapping scientists/techs",0.630,0.054,0.761,2
93,Biological technicians,0.300,0.586,0.733,2
94,Chemical technicians,0.570,0.437,0.776,2
95,Other science technicians,0.610,0.480,0.627,2
96,Airplane pilots and navigators,0.180,0.051,0.935,2
97,Air traffic controllers,0.110,0.310,0.914,2
98,Broadcast equipment operators,0.740,0.580,0.574,2
99,Computer software developers,0.086,0.288,0.918,2
100,Programmers of numerically controlled machine tools,0.360,0.458,0.678,2
101,Legal assistants and paralegals,0.940,0.741,0.431,2
102,Sales supervisors and proprietors,0.178,0.127,0.704,2
103,Insurance sales occupations,0.920,0.948,0.636,2
104,Real estate sales occupations,0.860,0.805,0.660,2
105,Financial service sales occupations,0.016,0.881,0.766,2
106,Advertising and related sales jobs,0.540,0.996,0.628,2
107,Sales engineers,0.004,0.343,0.962,2
108,Retail salespersons and sales clerks,0.920,0.522,0.497,2
109,Cashiers,0.970,0.975,0.168,1
110,"Door-to-door sales, street sales, and news vendors",0.940,0.167,0.064,1
111,"Sales demonstrators, promoters, and models",0.745,0.422,0.034,1
112,Office supervisors,0.014,0.750,0.653,2
113,Computer and peripheral equipment operators,0.780,0.452,0.744,1
114,Secretaries and stenographers,0.903,0.993,0.419,1
115,Typists,0.810,0.972,0.114,1
116,"Interviewers, enumerators, and surveyors",0.940,0.911,0.371,1
117,Hotel clerks,0.940,0.668,0.304,1
118,Transportation ticket and reservation agents,0.610,0.762,0.502,1
119,Receptionists and other information clerks,0.960,0.942,0.336,1
120,Correspondence and order clerks,0.860,0.753,0.345,1
121,"Human resources clerks, excl payroll and timekeeping",0.900,0.908,0.435,1
122,Library assistants,0.950,0.589,0.338,1
123,File clerks,0.970,0.984,0.339,1
124,Bookkeepers and accounting and auditing clerks,0.980,0.966,0.522,1
125,Payroll and timekeeping clerks,0.970,0.620,0.340,1
126,Billing clerks and related financial records processing,0.950,0.936,0.346,1
127,Mail and paper handlers,0.940,0.756,0.053,1
128,"Office machine operators, n.e.c.",0.920,0.854,0.324,1
129,Telephone operators,0.970,0.951,0.130,1
130,"Postal clerks, exluding mail carriers",0.950,0.960,0.303,1
131,Mail carriers for postal service,0.680,0.626,0.052,1
